snr_db,bler
0.5,0.869459056174356
1.5,0.05017728281653866
2.5,0.004255783500654697
3.5,0.0014051666898287074
4.5,0.0009505161302587606
5.5,0.0007693526124046279
6.5,0.0006783198539003221
7.5,0.0003315649867373649
8.5,0.0001702185606318185
9.5,0.0001702185606318185
10.5,0.0001702185606318185
11.5,0.0001702185606318185
12.5,0.00016450976091253455
13.5,0.00016450976091253455
14.5,6.58587987355519e-05
15.5,6.58587987355519e-05
16.5,6.58587987355519e-05
17.5,6.58587987355519e-05
18.5,0.0
19.5,0.0
20.5,0.0
21.5,0.0
22.5,0.0
23.5,0.0
24.5,0.0
25.5,0.0
26.5,0.0
27.5,0.0
28.5,0.0
29.5,0.0
30.5,0.0
31.5,0.0
32.5,0.0
33.5,0.0
34.5,0.0
35.5,0.0
36.5,0.0
37.5,0.0
38.5,0.0
39.5,0.0
