txRx,nodeId,imsi,Ip,range,numNieb,avrgPrr,SEED,RUN
tx,0,1,7.0.0.2,300.0,96,0.0234375,1,1
tx,1,2,7.0.0.3,300.0,96,0.09322856034148234,1,1
tx,2,3,7.0.0.4,300.0,96,0.1135487208427389,1,1
tx,3,4,7.0.0.5,300.0,96,0.10422660145761412,1,1
tx,4,5,7.0.0.6,300.0,96,0.13531954156954157,1,1
tx,5,6,7.0.0.7,300.0,96,0.13895018915510718,1,1
tx,6,7,7.0.0.8,300.0,96,0.06747512437810946,1,1
tx,7,8,7.0.0.9,300.0,96,0.06652980535279805,1,1
tx,8,9,7.0.0.10,300.0,96,0.111796875,1,1
tx,9,10,7.0.0.11,300.0,96,0.09521713615023474,1,1
tx,10,11,7.0.0.12,300.0,96,0.08574623352165725,1,1
tx,11,12,7.0.0.13,300.0,96,0.10214311994113319,1,1
tx,12,13,7.0.0.14,300.0,96,0.15808163875598086,1,1
tx,13,14,7.0.0.15,300.0,96,0.12287924151696607,1,1
tx,14,15,7.0.0.16,300.0,96,0.149234437751004,1,1
tx,15,16,7.0.0.17,300.0,96,0.14896460843373494,1,1
tx,16,17,7.0.0.18,300.0,96,0.14698275862068966,1,1
tx,17,18,7.0.0.19,300.0,96,0.1360067733990148,1,1
tx,18,19,7.0.0.20,300.0,96,0.14603708231458842,1,1
tx,19,20,7.0.0.21,300.0,96,0.11989653243847875,1,1
tx,20,21,7.0.0.22,300.0,96,0.11366033755274262,1,1
tx,21,22,7.0.0.23,300.0,96,0.14962757616487454,1,1
tx,22,23,7.0.0.24,300.0,96,0.16900749063670412,1,1
tx,23,24,7.0.0.25,300.0,96,0.09602417302798982,1,1
tx,24,25,7.0.0.26,300.0,96,0.1351875,1,1
tx,25,26,7.0.0.27,300.0,96,0.16253048780487805,1,1
tx,26,27,7.0.0.28,300.0,96,0.14808616546515618,1,1
tx,27,28,7.0.0.29,300.0,96,0.1939078904199475,1,1
tx,28,29,7.0.0.30,300.0,96,0.1543579507651364,1,1
tx,29,30,7.0.0.31,300.0,96,0.12426521438450899,1,1
tx,30,31,7.0.0.32,300.0,96,0.17610556787386056,1,1
