scenario,snr_db,n,pssch_decode,sci_decode
UMi,0.5,69217.0,0.0,0.11826574396463295
UMi,1.5,48893.0,0.0004908678133884351,0.9276583560018816
UMi,2.5,33038.0,0.015224892547975018,0.9923118832859132
UMi,3.5,24441.0,0.055071396424041553,0.9973405343480217
UMi,4.5,19228.0,0.12565009361348034,0.9982837528604119
UMi,5.5,15732.0,0.1917111619628782,0.9986651411136537
UMi,6.5,13245.0,0.23933559833899581,0.9989429973574934
UMi,7.5,11087.0,0.27094795706683505,0.9990980427527735
UMi,8.5,9833.0,0.32197701617003965,0.999694904912031
UMi,9.5,8553.0,0.4703612767450017,0.9997661639190927
UMi,10.5,7649.0,0.5778533141587135,0.999607791868218
UMi,11.5,6623.0,0.6340027178016004,0.9996980220443907
UMi,12.5,6026.0,0.691503484898772,0.9996681048788583
UMi,13.5,5747.0,0.7215938750652514,1.0
UMi,14.5,4998.0,0.7655062024809923,1.0
UMi,15.5,4724.0,0.7864098221845893,1.0
UMi,16.5,4365.0,0.8126002290950745,0.9997709049255441
UMi,17.5,4164.0,0.824447646493756,1.0
UMi,18.5,3875.0,0.84,1.0
UMi,19.5,3529.0,0.848682346273732,0.9997166336072542
UMi,20.5,3315.0,0.8702865761689291,0.9996983408748115
UMi,21.5,3016.0,0.868368700265252,1.0
UMi,22.5,2905.0,0.8771084337349397,1.0
UMi,23.5,2953.0,0.8865560447003048,1.0
UMi,24.5,2667.0,0.8912635920509936,1.0
UMi,25.5,2437.0,0.8961838325810423,1.0
UMi,26.5,2402.0,0.898834304746045,1.0
UMi,27.5,2348.0,0.909710391822828,0.9995741056218058
UMi,28.5,2210.0,0.9063348416289593,1.0
UMi,29.5,2097.0,0.9113018597997139,1.0
UMi,30.5,1952.0,0.9241803278688525,1.0
UMi,31.5,1854.0,0.9207119741100324,1.0
UMi,32.5,1821.0,0.9225700164744646,1.0
UMi,33.5,1858.0,0.9241119483315393,1.0
UMi,34.5,1836.0,0.9270152505446623,1.0
UMi,35.5,1661.0,0.930162552679109,1.0
UMi,36.5,1618.0,0.9252163164400494,1.0
UMi,37.5,1604.0,0.9320448877805486,1.0
UMi,38.5,1457.0,0.9354838709677419,1.0
UMi,39.5,1426.0,0.9249649368863955,1.0
V2V,0.5,314499.0,0.0,0.029748902222264607
V2V,1.5,52301.0,0.000803043918854323,0.870786409437678
V2V,2.5,34533.0,0.01581096342628788,0.9706946978252686
V2V,3.5,27090.0,0.03580657069029162,0.9844592100406054
V2V,4.5,23549.0,0.06306000254787889,0.9922289693829887
V2V,5.5,20662.0,0.08203465298615817,0.993321072500242
V2V,6.5,18857.0,0.09142493503738665,0.9950151137508617
V2V,7.5,17445.0,0.10220693608483804,0.9962166809974204
V2V,8.5,16374.0,0.16379626236716746,0.9972517405643093
V2V,9.5,15556.0,0.35047570069426587,0.9975572126510671
V2V,10.5,14871.0,0.4796583955349338,0.9984533656109206
V2V,11.5,14279.0,0.5562014146648925,0.9982491771132432
V2V,12.5,13583.0,0.6015607744975336,0.9983067069130531
V2V,13.5,13262.0,0.634444276881315,0.998567335243553
V2V,14.5,12802.0,0.6691142009061084,0.9991407592563661
V2V,15.5,12313.0,0.6974742142451068,0.9987005603833347
V2V,16.5,12267.0,0.7092198581560284,0.9992663242846662
V2V,17.5,11822.0,0.7239891727288107,0.9994924716630011
V2V,18.5,11452.0,0.7394341599720573,0.9991267900803353
V2V,19.5,11181.0,0.7530632322690278,0.9994633753689295
V2V,20.5,11020.0,0.7632486388384755,0.9991833030852995
V2V,21.5,10707.0,0.7753805921359858,0.9995330157840665
V2V,22.5,10667.0,0.7873816443236149,0.9997187587887878
V2V,23.5,10149.0,0.7867770223667356,0.999507340624692
V2V,24.5,10171.0,0.7991347950054075,0.999606725002458
V2V,25.5,9936.0,0.8009259259259259,0.9998993558776168
V2V,26.5,9992.0,0.8105484387510008,0.9992994395516414
V2V,27.5,9849.0,0.8185602599248655,0.9994923342471317
V2V,28.5,9483.0,0.8193609617209744,0.9992618369714226
V2V,29.5,9329.0,0.8312788080180084,0.9996784221245578
V2V,30.5,9161.0,0.8255648946621548,0.9997816832223556
V2V,31.5,9003.0,0.8330556481172943,0.9998889259135844
V2V,32.5,9105.0,0.8362438220757825,0.999890170236134
V2V,33.5,8772.0,0.842453260373917,0.9997720018239854
V2V,34.5,8614.0,0.8403761318783376,0.99965172974228
V2V,35.5,8731.0,0.8445767953269958,0.9996563967472225
V2V,36.5,8510.0,0.8511163337250294,0.999529964747356
V2V,37.5,8342.0,0.8529129705106689,0.9997602493406856
V2V,38.5,8211.0,0.8517841919376447,0.999756424308854
V2V,39.5,8122.0,0.857916769268653,0.9998768776163507
