timeMs,imsi,rnti,srcL2Id,dstL2Id,frame,subFrame,slot,symStart,symLen,sbChSize,rbStart,rbLen,harqId,ndi,rv,reselCounter,cReselCounter,csiReq,castType,SEED,RUN
3199.0,2,2,2,255,319,9,0,1,12,10,30,20,0,1,0,255,255,0,1,1,1
4167.0,1,1,1,255,416,7,0,1,12,10,20,20,3,0,2,255,255,0,1,1,1
4897.0,3,3,3,255,489,7,0,1,12,10,20,20,0,0,3,255,255,0,1,1,1
5509.0,2,2,2,255,550,9,0,1,12,10,20,20,2,0,1,255,255,0,1,1,1
6188.0,3,3,3,255,618,8,0,1,12,10,20,20,1,1,0,255,255,0,1,1,1
6807.0,3,3,3,255,680,7,0,1,12,10,10,20,3,0,0,255,255,0,1,1,1
7469.0,1,1,1,255,746,9,0,1,12,10,30,20,7,0,2,255,255,0,1,1,1
7926.0,4,4,4,255,792,6,0,1,12,10,30,20,0,0,3,255,255,0,1,1,1
8409.0,3,3,3,255,840,9,0,1,12,10,10,20,4,0,0,255,255,0,1,1,1
8899.0,3,3,3,255,889,9,0,1,12,10,20,20,4,0,3,255,255,0,1,1,1
9387.0,1,1,1,255,938,7,0,1,12,10,30,20,9,0,0,255,255,0,1,1,1
9877.0,1,1,1,255,987,7,0,1,12,10,0,20,10,0,2,255,255,0,1,1,1
10324.0,4,4,4,255,1032,4,0,1,12,10,0,20,3,0,3,255,255,0,1,1,1
10817.0,4,4,4,255,1081,7,0,1,12,10,30,20,3,1,0,255,255,0,1,1,1
11228.0,4,4,4,255,1122,8,0,1,12,10,10,20,3,0,0,255,255,0,1,1,1
11608.0,2,2,2,255,1160,8,0,1,12,10,0,20,9,0,1,255,255,0,1,1,1
12006.0,2,2,2,255,1200,6,0,1,12,10,0,20,10,0,2,255,255,0,1,1,1
12388.0,3,3,3,255,1238,8,0,1,12,10,0,20,7,0,3,255,255,0,1,1,1
12787.0,1,1,1,255,1278,7,0,1,12,10,10,20,13,0,3,255,255,0,1,1,1
13186.0,6,6,6,255,1318,6,0,1,12,10,30,20,0,0,0,255,255,0,1,1,1
13565.0,6,6,6,255,1356,5,0,1,12,10,0,20,0,1,0,255,255,0,1,1,1
13947.0,5,5,5,255,1394,7,0,1,12,10,30,20,3,0,2,255,255,0,1,1,1
14319.0,4,4,4,255,1431,9,0,1,12,10,0,20,6,0,3,255,255,0,1,1,1
14707.0,3,3,3,255,1470,7,0,1,12,10,20,20,10,0,0,255,255,0,1,1,1
15099.0,3,3,3,255,1509,9,0,1,12,10,10,20,10,0,3,255,255,0,1,1,1
15488.0,6,6,6,255,1548,8,0,1,12,10,10,20,2,0,0,255,255,0,1,1,1
15879.0,6,6,6,255,1587,9,0,1,12,10,30,20,2,0,2,255,255,0,1,1,1
16248.000000000002,5,5,5,255,1624,8,0,1,12,10,0,20,5,0,3,255,255,0,1,1,1
16619.0,2,2,2,255,1661,9,0,1,12,10,20,20,14,0,0,255,255,0,1,1,1
17008.0,2,2,2,255,1700,8,0,1,12,10,10,20,15,0,1,255,255,0,1,1,1
17404.0,2,2,2,255,1740,4,0,1,12,10,10,20,15,0,2,255,255,0,1,1,1
17789.0,6,6,6,255,1778,9,0,1,12,10,30,20,4,0,0,255,255,0,1,1,1
18178.0,6,6,6,255,1817,8,0,1,12,10,0,20,5,0,3,255,255,0,1,1,1
18559.0,5,5,5,255,1855,9,0,1,12,10,20,20,7,0,1,255,255,0,1,1,1
18929.0,4,4,4,255,1892,9,0,1,12,10,10,20,10,0,0,255,255,0,1,1,1
19309.0,3,3,3,255,1930,9,0,1,12,10,20,20,14,0,0,255,255,0,1,1,1
19705.0,2,2,2,255,1970,5,0,1,12,10,0,20,2,0,2,255,255,0,1,1,1
20089.0,3,3,3,255,2008,9,0,1,12,10,0,20,15,0,3,255,255,0,1,1,1
