run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,0,18638,16931,0.908413,182,0,1525,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,10,30690,27992,0.912089,313,0,2385,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,20,27795,25331,0.911351,256,0,2208,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,30,37239,33890,0.910067,365,0,2984,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,40,38707,35323,0.912574,374,0,3010,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,50,41902,38244,0.912701,390,0,3268,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,60,43361,39586,0.912940,434,0,3341,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,70,42609,38992,0.915112,403,0,3214,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,80,50543,46089,0.911877,537,0,3917,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,90,46419,42200,0.909110,481,5,3733,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,100,37744,34336,0.909708,358,2,3048,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,110,25087,22850,0.910830,250,1,1986,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,120,20403,18674,0.915258,204,1,1524,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,130,18846,17204,0.912873,211,2,1429,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,140,17528,16029,0.914480,174,6,1319,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,150,15332,14043,0.915927,156,4,1129,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,160,12496,11437,0.915253,123,7,929,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,170,8443,7738,0.916499,72,2,631,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,180,8350,7646,0.915689,85,9,610,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,190,7353,6777,0.921665,71,18,487,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,200,3696,3359,0.908820,33,6,298,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,210,2505,2281,0.910579,22,5,197,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,220,2121,1944,0.916549,22,3,152,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,230,2406,2195,0.912303,16,6,189,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,240,2139,1915,0.895278,30,5,189,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,250,1426,1304,0.914446,14,4,104,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,260,2776,2536,0.913545,32,19,189,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,270,1927,1786,0.926829,25,6,110,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,280,2335,2148,0.919914,26,11,150,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,290,1618,1483,0.916564,11,10,114,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,300,839,763,0.909416,4,4,68,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,310,896,817,0.911830,9,8,62,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,320,1040,954,0.917308,9,4,73,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,330,931,851,0.914071,5,11,64,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,340,822,750,0.912409,6,12,54,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,350,762,678,0.889764,12,14,58,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,360,353,316,0.895184,5,7,25,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,370,126,116,0.920635,0,1,9,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,380,148,135,0.912162,0,1,12,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,390,108,99,0.916667,0,3,6,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,400,153,141,0.921569,2,2,8,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,410,127,115,0.905512,3,2,7,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,420,186,169,0.908602,0,4,13,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,430,151,139,0.920530,1,4,7,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,440,196,178,0.908163,2,7,9,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,450,448,385,0.859375,7,21,35,0,0
0,0,Prop_Analytical_M3_CAV75-0-20260719-01:36:41-67540,460,5,5,1.000000,0,0,0,0,0
