run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,0,1317,1196,0.908125,104,17,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,10,300,271,0.903333,23,6,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,20,72,58,0.805556,7,7,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,30,258,224,0.868217,20,14,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,40,388,328,0.845361,35,25,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,50,1326,1110,0.837104,127,89,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,60,538,453,0.842007,40,45,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,70,660,554,0.839394,44,62,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,80,464,387,0.834052,31,46,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,90,294,242,0.823129,26,26,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,100,166,129,0.777108,19,18,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,110,190,161,0.847368,15,14,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,120,1552,1315,0.847294,113,124,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,130,438,350,0.799087,37,51,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,140,284,210,0.739437,30,44,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,150,20,16,0.800000,3,1,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,160,24,19,0.791667,2,3,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,170,28,19,0.678571,3,6,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,180,36,26,0.722222,3,7,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,190,154,121,0.785714,12,21,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,200,50,36,0.720000,4,10,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,210,36,27,0.750000,6,3,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,220,35,27,0.771429,3,5,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,230,31,24,0.774194,2,5,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,240,91,73,0.802198,7,11,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,250,39,28,0.717949,2,9,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,260,532,359,0.674812,39,134,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,270,116,72,0.620690,12,32,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,280,1873,1374,0.733582,154,345,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,290,152,114,0.750000,11,27,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,300,114,86,0.754386,3,25,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,310,108,72,0.666667,8,28,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,320,598,429,0.717391,44,125,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,330,472,324,0.686441,39,109,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,340,42,34,0.809524,3,5,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,350,24,16,0.666667,3,5,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,360,15,10,0.666667,2,3,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,370,14,12,0.857143,0,2,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,380,14,11,0.785714,1,2,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,390,14,8,0.571429,2,4,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,400,14,13,0.928571,0,1,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,410,16,13,0.812500,0,3,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,420,14,7,0.500000,2,5,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,430,16,11,0.687500,0,5,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,440,18,9,0.500000,2,7,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,450,32,23,0.718750,2,7,0,0,0
0,0,Prop_NS3Learn_CAV01-0-20260719-02:00:30-72267,460,5,0,0.000000,0,5,0,0,0
